grupo,selecao,status_lista,tipo_lista,data_anuncio,posicao,jogador,clube,fonte,observacao
A,Czechia,PUBLICADA,preliminar,2026-05-12,Goleiro,Antonín Kinsky,Tottenham,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Goleiro,Jakub Markovic,Slavia Prague,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Goleiro,Jan Koutny,Sigma Olomouc,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Goleiro,Jindrich Stanek,Slavia Prague,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Goleiro,Lukas Hornicek,Braga,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Goleiro,Martin Jedlicka,Banik Ostrava,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Goleiro,Matej Kovar,PSV Eindhoven,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Defensor,Adam Ševínský,Sparta Prague,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Defensor,David Douděra,Slavia Prague,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Defensor,David Jurásek,Slavia Prague,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Defensor,David Zima,Slavia Prague,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Defensor,Jaroslav Zelený,Sparta Prague,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Defensor,Karel Spáčil,Viktoria Plzen,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Defensor,Ladislav Krejčí,Wolverhampton Wanderers,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Defensor,Martin Vitík,Bologna,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Defensor,Matěj Hadaš,Sigma Olomouc,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Defensor,Robin Hranáč,TSG Hoffenheim,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Defensor,Tomáš Holeš,Slavia Prague,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Defensor,Tomáš Vlček,Slavia Prague,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Defensor,Vladimír Coufal,TSG Hoffenheim,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Defensor,Václav Jemelka,Viktoria Plzen,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Defensor,Štěpán Chaloupek,Slavia Prague,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,Adam Karabec,Lyon,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,Alexandr Sojka,Viktoria Plzen,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,David Planka,Banik Ostrava,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,Denis Višinský,Viktoria Plzen,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,Hugo Sochůrek,Sparta Prague,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,Krystof Danek,LASK Linz,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,Lukas Ambros,Gornik Zabrze,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,Lukas Sadílek,Gornik Zabrze,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,Lukás Cerv,Viktoria Plzen,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,Lukás Provod,Slavia Prague,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,Matěj Ryneš,Sparta Prague,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,Michal Beran,Sigma Olomouc,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,Michal Sadílek,Slavia Prague,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,Ondrej Kricfaluši,Banik Ostrava,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,Patrik Hellebrand,Gornik Zabrze,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,Pavel Bucha,FC Cincinnati,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,Pavel Šulc,Lyon,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
