tipo,selecao,texto,numero
artilheiro,Brazil,Neymar (79 gols),
artilheiro,Argentina,Lionel Messi (112 gols),
artilheiro,Portugal,Cristiano Ronaldo (128 gols),
artilheiro,France,Olivier Giroud (57 gols),
artilheiro,England,Harry Kane (63 gols),
artilheiro,Germany,Miroslav Klose (71 gols),
artilheiro,Spain,David Villa (59 gols),
artilheiro,Uruguay,Luis Suarez (68 gols),
artilheiro,Netherlands,Robin van Persie (50 gols),
artilheiro,Belgium,Romelu Lukaku (83 gols),
titulo,Brazil,,5
titulo,Germany,,4
titulo,Italy,,4
titulo,Argentina,,3
titulo,France,,2
titulo,Uruguay,,2
titulo,Spain,,1
titulo,England,,1
participacao,Brazil,,22
participacao,Argentina,,18
participacao,Germany,,20
participacao,Italy,,18
participacao,France,,16
participacao,England,,16
participacao,Spain,,16
participacao,Uruguay,,14
participacao,Portugal,,8
participacao,Netherlands,,11
participacao,Belgium,,14
participacao,Mexico,,17
participacao,United States,,11
campea,Brazil,,5
campea,Germany,,4
campea,Italy,,4
campea,Argentina,,3
campea,France,,2
campea,Uruguay,,2
campea,England,,1
campea,Spain,,1
curiosidade,,A Copa do Mundo de 1930 foi realizada no Uruguai.,
curiosidade,,A selecao com mais titulos e o Brazil com 5 conquistas.,
curiosidade,,A maior goleada em Copas foi Hungary 10 x 1 El Salvador em 1982.,
curiosidade,,Miroslav Klose e o maior artilheiro da historia das Copas com 16 gols.,
curiosidade,,A Copa de 2026 tera 48 selecoes e novo formato com fase mata-mata ampliada.,
